Bodemtype,GVG,Starting_heads,GHG,GLG,Landgebruik,Base_impermeable_2,KD_l1,AHN,soil_rootzone_thickness,base_impermeable_layer_1,GHG_ERROR,U_matrix,X,Y,XY,Total features
335.1741182708969,0.7838296836194991,4.407353061096192,0.5866459396858219,1.3225721818332672,1.1977830802130702,,126.17478607519531,529.3500094311523,33.315636136045455,,0.25499533156752585,0.2136770731286023,0,0,0,9.0
333.27980723556516,0.7397021655139921,3.767007206726075,0.5302840270900728,1.3273741818294527,1.10321335676384,,80.41338308874512,459.7105283022461,30.28491942416191,,0.22830320082306854,0.25522786177458534,1,0,1,6.0
333.8414329575577,0.7409511176509858,2.7609716671447764,0.5019144089946748,1.4470973440380095,1.020446318811894,,23.61190695678711,358.5026192548828,26.747362256965637,,0.21242226687550536,0.19045100665788522,2,0,2,
334.3933195051804,0.7442965251607898,1.8135866018371587,0.4922063205661775,1.5026534670305254,1.002325808242798,,3.773533834899908,266.15610173168943,25.37239002254486,,0.19312615434527403,0.10282198117449468,3,0,3,16.0
331.3371332916107,0.6839581180934906,0.8579603077087405,0.445578077659607,1.3874746058654783,1.0026222871847157,,1.975680782775882,169.9682074892578,24.819112321252824,,0.13704439672946933,0.08618023547685524,4,0,4,6.0
325.06235805083463,0.6064466191425324,-0.005741847656249632,0.38794989266014124,1.230441663581848,1.0152367602610592,,3.34663351837159,81.10694215624994,24.994236845293045,,0.09248798298478123,0.0864820047140962,5,0,5,14.0
316.87870463357547,0.5538950463171006,-0.44878508407592754,0.33919840511703514,1.162691980389595,1.070177131807327,,4.554414772338859,35.6034657202149,26.182833372039795,,0.06852163141965861,0.09087875209107057,6,0,6,10.0
305.15456999006653,0.5308658982400893,-0.7340574759521488,0.31034913838386524,1.162955964682579,1.1599396609840387,,3.8670646650390523,9.26664123901378,28.23165302096367,,0.021879342557191928,0.11761615752087694,7,0,7,1.0
287.91539894743346,0.5168279311084745,-1.2437549160766608,0.29918931341171273,1.1373683442840576,1.1354872072982793,,2.065776423828126,-41.231518968505725,30.82431967083931,,-0.014238115414381025,0.15700877220727474,8,0,8,4.0
264.19926074484255,0.4698775262851713,-2.0740646572570807,0.262819156038284,1.0480913705329895,1.0319878204793937,,1.2216567781982377,-131.64542764575185,31.90890989794731,,0.08326063712477683,0.17205250710761907,9,0,9,3.0
243.97440845181274,0.4341358296709057,-2.377909501403808,0.22522749346733084,1.0197759124402999,1.008255387081146,,1.0278808847045866,-168.79264316577155,29.770289687871934,,0.1315857676076888,0.14147022527543243,10,0,10,5.0
232.44847016876983,0.4458861752862928,-2.459692416229249,0.22382691944503819,1.0841315118656158,1.0160909019746782,,1.001804676635743,-182.2627927165529,26.59521760400772,,0.08603591164588931,0.10422784481840379,11,0,11,6.0
227.1474458833618,0.6102826864204407,-2.870886984497071,0.3583843506278992,1.367895770802498,1.0931401317610732,,1.0000870820922785,-221.2368227663576,24.556156939296724,,0.0716186256623269,0.12273619878590715,12,0,12,11.0
226.68146384812928,1.3365292374677658,-3.0945401597290054,1.0355970646400452,2.2902568904886245,2.1729164382243153,,0.999930937133783,-192.35497445410147,23.988763031482698,,0.06228875373721121,0.42114723256644854,13,0,13,3.0
215.9131833865738,4.1184363063201905,-1.091232808044433,3.845928781810761,4.958446705122948,8.686445847791195,,0.999930937133783,310.1531267080079,22.187141138629915,,-0.08364119073152543,0.6062257576961773,14,0,14,
203.9625505083618,6.13003940027237,0.8412522256469721,5.935924174776077,6.656494243041038,13.460265062276363,,0.999930937133783,713.6481783679199,20.299807311038972,,-0.36077621549010275,0.3428624492278015,15,0,15,5.0
201.66010979837034,6.848620188968658,1.283416714324952,6.675958069705963,7.289264593323708,14.131578095046521,,0.999930937133783,775.7703028061524,20.019303663892746,,-0.7734860521411896,0.18748123069422634,16,0,16,5.0
201.3348879670639,7.752938002609253,1.3891158176879888,7.586555020227432,8.168470566447258,14.216328718300343,,1.0000870820922785,815.7039320053711,20.01223063863754,,-1.4168123630428315,0.23994330696575183,17,0,17,4.0
201.00425548332976,9.025811396348953,1.1995675548095708,8.87050407507515,9.397009468612671,14.060761982062816,,1.0002432270507882,882.9056736801758,20.157332110328674,,-2.2600892485821245,0.27137390153679947,18,0,18,4.0
195.28636123857115,9.876545339989661,0.8460853382263185,9.733084999298097,10.200363954885482,13.775852777902603,,1.0035222711791931,899.9027971232911,20.974758953113557,,-2.967692331545353,0.28687229535639047,19,0,19,7.0
169.0555182692108,9.861398609226228,-0.039312386383057785,9.726536196563721,10.150860614610671,13.747736691577433,,1.0244456956176862,764.8928590317382,24.03275307041168,,-3.7538020973312856,0.4397997285925076,20,0,20,1.0
107.66059544998168,8.258738129272462,-1.4276150685729974,8.11974523660469,8.564729846237181,14.84210399739647,,1.0630135003662105,472.0825030500489,28.483506439228055,,-4.525816296855211,0.5510058897093446,21,0,21,2.0
71.75517297671509,6.031193759716034,-0.425379519226075,5.861936773571014,6.458223182989121,14.689657349071503,,1.0516149183959982,345.8624335646973,27.283390132951737,,-2.828126073876619,0.4196776259413076,22,0,22,1.0
63.54837861522675,4.804232101420403,0.5108549497375492,4.615841589216233,5.307792204845429,13.692570431313515,,1.0820631853027294,301.63146904418954,25.45702757369995,,-1.4856603834557534,0.3016486100628296,23,0,23,6.0
63.83206328404999,3.5510743092718124,0.5731985395202646,3.3506372031326292,4.102848470200539,12.399583411477089,,1.2736530493774438,245.0255496542968,21.78042726446152,,-0.9719553019070626,0.3964963624576133,24,0,24,
70.38586170848083,1.4367512742567063,0.18184704525756956,1.2365506579208374,1.9875486158599855,9.329162780711174,,1.4372929658813547,137.49382260986317,10.69228133938789,,-0.3917815117323399,0.37784784852976283,25,0,25,
66.09463164768982,0.8999567435407636,0.18930452609252946,0.702650561559677,1.4391778152484893,7.5935750547266005,,1.4388544154663094,112.8720580991212,8.979684063987726,,-0.2026986999964714,0.32470735439859794,26,0,26,8.0
38.209627369979856,0.708223473897934,0.5059505873413084,0.5127160963172912,1.2402467944641113,4.4476864151978495,,2.1198025794677733,115.99522551708992,17.5846907766819,,-0.13146429703354834,0.38762252969792654,27,0,27,
12.417047247261053,0.5188797810478207,0.18988639959716735,0.33872515179443363,0.9894931428308489,1.6554759763092992,,3.790709780334467,60.366786006103666,26.379176971845627,,-0.05478540647506713,0.23557293138451307,28,0,28,7.0
6.684669102157599,0.4185239279584887,-0.8064591648864745,0.24637680073547363,0.857098734559059,1.0894976761889446,,5.163848545349111,-44.11478659912109,28.724048985881804,,-0.016932076159715703,0.07693823263566274,29,0,29,10.0
6.6984038352432265,0.3713250071487426,-1.5598072288513176,0.19105092919731126,0.8424287502775192,1.0124484464025496,,5.203040929931632,-119.53719365795882,28.67835783961296,,-0.013934072600603087,0.05603412653105428,30,0,30,16.0
10.697625146553037,0.38854907667064653,-1.8404483826293934,0.19878926055335988,0.8976014675111772,1.0012175417218216,,3.830682889709479,-141.87320491528317,27.3009980861187,,-0.057468761075735064,0.07445776774336861,31,0,31,3.0
18.828337410827643,0.5438524515829086,-1.905653840057374,0.3437134976272582,1.094408043271065,1.0004763443670281,,2.1026266340332,-128.3553734191894,25.350424847068787,,-0.21288059887647626,0.09720470638864803,32,0,32,5.0
30.25505265242768,0.7765589979648593,-2.278349757263184,0.5796174883136751,1.3143258153476713,1.0057353160748477,,1.3704629236450216,-145.36292728784179,23.2741188848114,,-0.3365447103083134,0.10654231187880235,33,0,33,2.0
40.423250139350884,0.7294620324316021,-2.998626031219482,0.5469757996845246,1.2094046295671461,1.0229522717733381,,1.4251136591186508,-227.38183346850565,21.903175588827132,,-0.2201953033149242,0.09290555583582356,34,0,34,6.0
45.69389153035736,0.5859090031347272,-3.3243564441223157,0.40841490120506263,1.045872645403862,1.048167099881173,,1.7686325678100587,-275.25599662304694,22.212329464855195,,-0.06216021239995961,0.08143463608033283,35,0,35,10.0
51.94177999060821,0.5702270071697235,-3.0026041459960933,0.3959056647319792,1.01750061924839,1.1027686383509643,,2.7058146087036192,-243.9200181879885,23.90842301465988,,0.030604664236307144,0.13697262012751432,36,0,36,2.0
70.08070091156006,0.879903415096283,-1.769827939117432,0.712972600244522,1.2976382368268964,1.2887738792920107,,5.7562625178833,-86.76181649877935,28.117052105436326,,-0.056033396164178795,0.1589005053923771,37,0,37,
83.81718205413057,1.2195100688772202,-1.032119209960939,1.0511248898735046,1.6430428281755447,1.467381264729977,,7.089896608398433,20.309481761230472,30.996549328002928,,-0.3240223888385296,0.12236596636132809,38,0,38,6.0
92.2433991817627,1.3149848131046296,-0.7505280586242673,1.1347244497795104,1.7860280348682405,1.479085123913288,,6.079794871887202,56.08584135351566,32.31681753165245,,-0.5918805723953247,0.1215074818151047,39,0,39,4.0
108.97188787602997,1.0711141639471056,-0.398696462799073,0.8792188180961609,1.5886997758626937,1.2699474664802546,,5.309063356750485,73.69537978173821,32.563746691827774,,-0.5877618528831006,0.1754134862764245,40,0,40,3.0
135.18666536972046,0.706700516955376,-0.058870461120605455,0.528531710733414,1.1693795824785234,1.0705159648838034,,6.6113123106079,80.69121519555665,30.6119498492527,,-0.16150089872956275,0.17803451365595135,41,0,41,3.0
153.41889923484803,0.645635678543091,0.26222871368408107,0.48499240505409213,1.038217100907326,1.0693582852058405,,9.279048926513667,106.43648554272477,28.159699164886476,,0.08719198141455653,0.12646154600352486,42,0,42,7.0
164.89497627474975,0.7503437474975585,0.5341655148315425,0.5927918375644685,1.1305487500486375,1.0966908200416565,,11.675249459594724,143.71929659472653,25.59693619140625,,0.03946079503297806,0.10651922321146663,43,0,43,7.0
172.35243689540863,0.9359342117319107,0.7917929777526851,0.7690211423969269,1.3535966215991972,1.0489788874602315,,14.405287913940427,191.6918037614746,23.16262174407959,,-0.21106694813847537,0.1073028779937937,44,0,44,10.0
172.15873553849792,1.2070524085311891,1.2861479573059071,1.0180099479217528,1.7132249380674363,0.9647435728435525,,22.102453643005376,272.0403517954103,22.21791029068947,,-0.5131794435870647,0.1240828445354058,45,0,45,9.0
165.16167981903075,1.4054000267362594,2.2562617142028802,1.2024508374328613,1.9672092546195983,0.948846654338837,,33.84877043579101,376.33119661938474,23.605267780303954,,-0.5249098395884038,0.1378004513232647,46,0,46,1.0
155.61920347516633,1.2776564375,3.367450108551026,1.0904560781707764,1.7764428908967973,0.9867041916127199,,26.929050455078126,454.80524817822266,26.22661450304985,,-0.36430806166410445,0.11379623155595918,47,0,47,
152.65183520221711,1.1550233564977646,4.029586531921387,0.9815630467662813,1.598863171142578,0.9999045635504729,,14.250079825195314,504.4659942211915,27.06314149842262,,-0.3450154845154285,0.092934776414172,48,0,48,12.0
156.1911510571747,1.1125781004543305,5.0463451689453125,0.9313406367340089,1.5875181318845748,1.0044011608362204,,13.784143269042971,605.7111547883301,26.302895737447738,,-0.2510379720056057,0.10982048823170752,49,0,49,2.0
