key,som_key,lon,lat
PEVE049_2001,2769,191133.0,380095.0
B41B0280001,1500,235581.0,446201.0
B32D1371002,933,159832.0,450234.0
B51C0282002,2722,140153.0,377457.0
BULT002001,2849,186227.0,389660.0
B26F0092001,413,178425.2,492643.0
B26F0192002,293,178688.3,492293.5
BULT005001,2223,187028.0,390098.0
BULT004001,2465,187526.0,389898.0
B46A1646001,54,182120.0,421227.0
PEVE073001,2589,188948.0,378983.0
PEVE074001,2467,189474.0,379066.0
B57B0169001,2766,154153.0,367978.0
B41B0471001,2181,235294.0,440757.0
16DL851001 Gelderingen001,387,198063.0,533585.0
WAMB001001,814,153867.0,411400.0
B28H0229001,2974,255882.93,483958.78
B12E0398001,669,240660.0,562760.0
22CC011A001,698,220348.0,501877.0
B15E0238001,509,164589.0,546490.0
B46A0717001,2393,182110.0,422650.0
B32G0137001,203,162800.0,458290.0
PEVE071_2001,2966,190771.0,379035.0
PEVE074_2001,2407,189474.0,379066.0
SAVE003001,683,154716.0,411166.0
B40E1526002,2740,202633.0,448872.0
B21F0770001,129,211064.0,522686.0
5357_PBF2001,308,113322.0,396099.0
B40E1528001,794,202726.0,448579.0
B57E0113002,2994,163359.0,371320.0
B23A0771001,1332,266859.0,524438.0
B40E1524002,2618,202304.0,448626.0
B41B0480002,2520,239090.0,448224.0
B40E1524001,2680,202304.0,448626.0
B52A1488002,2351,186682.0,389915.0
B34C1149002,1022,229485.0,460122.0
B33E1302002,465,201348.0,473422.0
B22A1174001,503,228628.0,515857.0
B22A1176001,439,228814.0,515619.0
B34C1146001,1946,221571.0,454896.0
B40G1201002,2800,202702.0,448784.0
B41B0487001,2123,231225.0,449337.0
B32C0398001,273,145283.65,453631.26
B40E1527002,62,202836.0,448939.0
B41F0247001,2823,251030.0,442479.0
5370_PBF001,303,105345.0,393403.0
B34C1147002,2983,223138.0,459262.0
B22A1098001,555,226189.0,515779.0
B21F0732001,815,219430.0,518671.0
B22B0202001,979,237320.0,515120.0
B40E1525002,2679,202631.0,448835.0
B52C2104002,2282,189136.0,377108.0
B52C2104001,2281,189136.0,377107.0
B40G1187001,772,201613.0,435908.0
B34B1293001,1465,238406.33,473567.08
BIJE001001,455,144893.0,410681.0
B40G1182001,832,204886.0,435833.0
B16F0198001,720,216990.0,549397.0
B40G1169001,712,204155.0,433694.0
NPD-PB25001,908,225023.0,534145.0
B26H0811001,76,175725.0,486834.0
NPD-PB13001,726,219905.0,534629.0
B41A0096001,2063,228840.0,449710.0
PEVE073_2001,2890,188948.0,378983.0
B40G1176001,773,202098.0,436477.0
B45G0272002,360,168610.0,408540.0
B33H1512001,530,211906.0,454380.0
B40G1181001,650,204722.0,435031.0
B16H1500001,6,213936.0,535666.0
B39E0141001,184,164466.36,448271.95
B32E0306002,311,166611.0,472965.0
B28E1215001,2174,249592.46,497274.38
B39B0292002,2815,153691.45,449222.08
B28B0141005,2987,232527.04,497514.44
B34G0294001,1742,241500.0,456800.0
B28D0151001,981,238546.49,485086.78
B28B0141003,2987,232527.04,497514.44
B28B0141004,2987,232527.04,497514.44
B22C0134003,204,221127.23,509572.29
B57B0069002,2962,155887.0,364528.0
B41D0128003,1920,236607.015,436142.28
B44D0175002,248,112648.0,409619.0
B32A0386008,2696,146696.0,469253.0
B28F0084002,2780,252833.91,493407.7
B41A0076001,1501,228820.0,441220.0
B41B0061001,1567,234740.0,441030.0
B28F0135002,2423,250474.78,494537.56
Mol 3_1358_FT1_WATHTE_m_NAP_GW_DagGem001,2784,246586.0,441578.0
B49G0138002,540,80148.0,384405.0
B40F2040001,712,218736.0,439685.0
B41B0491001,2174,237638.0,444745.0
B51F0096001,2493,177750.0,393040.0
B39B0337001,2518,158722.42,446562.43
B16B0299001,634,196437.0,545128.0
B16E0223001,376,200960.0,548045.0
B57E0076002,2612,169685.0,374558.0
B34F3233001,2583,250365.0,464305.0
B39B0292001,2815,153691.45,449222.08
B39E0253004,881,167728.52,443934.41
B39E0253003,881,167728.52,443934.41
B44G0066001,817,122875.0,402194.0
B12C0119001,2921,224720.0,559030.0
B40B0342001,832,191347.9,440136.2
B32D1371003,933,159832.0,450234.0
B39E0253005,881,167728.52,443934.41
B28D0463001,1588,237823.3,481191.23
B22C0113002,337,223119.84,510262.73
B34F0781001,2883,258366.92,473754.41
B28H0455002,2840,258089.27,483741.29
B28B0141002,2987,232527.04,497514.44
B41D0033002,2183,231725.0,435550.0
B57B0069001,2962,155887.0,364528.0
B41D0034002,1500,231140.0,434390.0
B41B0127001,1502,231272.01,448331.44
B45H0075003,1852,178260.0,410008.0
B34F1342001,2541,253305.79,466111.97
B51D2657002,2995,154045.0,377058.0
Stelkampsveld Lenderiet 4_838_FT1_WATHTE_m_NAP_GW_DagGem001,1401,228393.0,459173.0
LABW011_2001,1413,169303.0,407665.0
B28F0080002,2598,250221.57,497268.24
B28F0084001,2780,252833.91,493407.7
B49G0138003,540,80148.0,384405.0
HOOI003_2001,539,137581.0,414438.0
B45B0306001,346,157236.0,420688.0
HOOI003_3001,539,137581.0,414438.0
B44F2124001,478,139064.0,419344.0
TONG006001,2149,182399.0,414538.0
21BC608A001,232,197006.0,516213.0
B46C0161001,2036,184062.0,409350.0
B38H0375001,597,137273.0,435573.0
ASTE008001,2539,182763.0,380899.0
SANG021001,2316,173050.0,382440.0
B26H0597001,1257,174615.0,483942.0
21FP9001001,258,215139.0,520325.0
B38H2376001,717,135939.0,433059.0
21EC506A001,385,205205.0,518758.0
27FG76S001,1673,217723.0,492426.0
B41B0474001,2914,234149.0,440685.0
B33H1509001,2267,214642.0,457247.0
B45D0124001,71,153170.0,407082.0
GROO030001,2412,181830.0,372522.0
B27B0489001,939,199073.32,487924.21
21EC409A001,256,203965.0,515703.0
27FL0007001,1306,214448.0,494601.0
REESTDAL-PB7001,127,222171.0,514561.0
5310_PBF001,426,103368.0,393138.0
B41E0446001,1993,241460.0,441740.0
B45H0478001,1781,173393.0,404301.0
B32E1199001,752,166107.0,473198.0
VLIJ001001,97,140915.0,410222.0
PB27001,80,69569.4,447372.6
B11B0274001,375,197521.0,562651.0
B52C2098001,2955,187269.0,382774.0
21EC311A001,257,203767.0,513745.0
B33H1508001,1068,214951.0,457029.0
B39D2632001,287,155978.45,426185.18
17AL850701001,2985,221770.0,548075.0
ANSERVELD-PB5O001,64,220300.0,534638.0
B45A2530001,655,142950.0,420639.0
B34F1467001,2784,256555.49,474972.5
B51G0865001,1444,165491.0,383159.0
21FG507J001,23,215224.0,517549.0
SANG015001,2077,173276.0,382569.0
B34E1683001,2123,248253.32,473953.58
B12C1575001,913,229599.0,552206.0
B28H0696001,2944,257889.81,475505.03
ANNA009001,1494,169239.0,408265.0
ANNA002001,305,168890.0,408410.0
B34G0286001,2887,242000.0,452510.0
B51E0075001,2073,167369.0,393257.0
B58A0812001,2474,183726.0,374756.0
ANNA010001,1856,168676.0,408884.0
B45G0398001,1492,168818.0,408628.0
B39E0253001,881,167728.52,443934.41
B51G0871001,2188,161006.0,381291.0
CORK014001,2488,188268.0,374072.0
VILT103001,1432,192091.0,410359.0
B40A2160001,526,183770.0,439700.0
22AP7610001,21,221692.0,516324.0
B17D0104001,1575,232160.0,535050.0
B26G1791001,2219,168947.0,480650.0
B45G1039001,305,168905.0,408430.0
B34E1788001,2427,248242.74,468578.66
HOLT002001,893,197799.0,398143.0
B34D0260001,2003,234745.0,454530.0
B41D0068001,2022,231730.0,431960.0
DEUR002001,2957,187151.0,383266.0
B39F0558001,878,172660.0,446170.0
5238_PBF001,1527,116055.0,390807.0
B50B0493001,1087,118429.0,388703.0
B41B0468001,1937,235074.0,441893.0
B41A0179001,1727,220588.94,440980.58
21GC912A001,1308,209675.0,500187.0
B31A0109001,149,101831.8,463257.2
B50B1279001,1101,110589.0,392058.0
B06H1508001,376,210240.0,578386.0
CORK003001,2405,182582.0,372656.0
B39E0350001,517,169220.0,447300.0
HOLT001001,2192,197700.0,398828.0
B23A0778001,1817,263892.0,523582.0
27HC005A001,1298,210910.0,482910.0
GROO026001,2715,187077.0,376041.0
10-686002,1138,55113.0,427717.0
Brongebied Vl Aa-PB24001,365,214959.0,544451.0
B33G1149001,1346,202398.0,460924.0
B17B0262001,61,238717.0,547062.0
VILT111001,1070,192621.0,410033.0
21GR036A001,391,203948.0,506267.0
B12D1804001,1580,231055.0,553283.0
B51E0234001,2011,168610.0,393390.0
B34A0117001,2387,226415.0,466355.0
MUIS001001,2432,177510.0,389679.0
B45B0496001,1256,155865.0,413640.0
B41A0193001,1840,224390.0,441130.0
B45B0323001,285,157134.0,421529.0
DYNA001001,603,158205.0,407585.0
B26G1795001,1121,168112.0,479472.0
B17E2223001,1690,241539.0,545603.0
PEVE012001,2774,189555.0,375588.0
B45B0328001,285,157956.0,421449.0
2191_PBF2001,13,127703.0,410270.0
B17C1753001,910,222019.0,535048.0
B21D0971001,340,197232.0,503256.0
B27D0545001,1633,193917.0,479232.0
B23A0787001,1153,263003.0,520602.0
NPD-PB11001,1593,219995.0,533058.0
B37B0232001,169,70386.2,443957.6
B31D1559001,75,117494.0,462098.0
NPD-PB14001,184,220619.0,535022.0
B37C0558001,117,67703.7,430742.6
B45E0352001,2211,166924.0,414182.0
