Bodemtype,GVG,Starting_heads,GHG,GLG,Landgebruik,KD_l1,AHN,soil_rootzone_thickness,GHG_ERROR,U_matrix,X,Y,XY,Total features
337.8037588198853,0.755552418336868,4.312462766877174,0.5640848024897576,1.2714400995755195,1.2043658621063233,128.13878577116395,516.0005863496093,33.42829804563331,0.2664052117590904,0.21863510761350521,0,0,0,9.0
334.58602152395633,0.7229272315564157,3.710537031158448,0.5164881607069969,1.2987128703141213,1.105475187423707,81.02842497828675,451.8658227856446,30.307575417387007,0.23537512772750857,0.25971100619383564,1,0,1,6.0
334.10378547709655,0.730776134136677,2.71416344357109,0.493226932495594,1.4309795243477823,1.0207742797393795,23.77809131477356,352.68737025341807,26.675883621978763,0.21996435584259022,0.19260868705557818,2,0,2,
334.4975324996491,0.731292173997879,1.710154308861732,0.4821653808722499,1.4777956860995294,1.0022287484436028,3.7694815680999767,254.17495492382818,25.129756512886047,0.2027191365704537,0.10392425633687113,3,0,3,14.0
331.3505531253204,0.669386503241062,0.7843293767204287,0.43355209937381733,1.3627096208214762,1.0022216888580324,1.978788899490354,160.70922416992175,24.573428872671126,0.14956964647102355,0.08446898874575053,4,0,4,8.0
324.219569786438,0.5871514102978708,-0.02033616617393541,0.36832091459846517,1.2124831560111047,1.0149289428863533,3.3929209127655042,78.34113342773435,25.07789267988205,0.10857911400556564,0.0887531910886843,5,0,5,12.0
314.9375456309051,0.5309667740516661,-0.46847034547424293,0.31494413254547116,1.145074167137146,1.0679534901123056,4.458437692474362,32.59018866943347,26.56320362576294,0.08520846636724466,0.09343914774708299,6,0,6,12.0
303.0866759428253,0.5186710094575879,-0.7311664161319733,0.2964975565724375,1.1573469139695165,1.1479315350494383,3.6497377776184123,8.782711211425749,28.639875664072036,0.04544443340730664,0.1257571571490642,7,0,7,2.0
283.26463503031925,0.5404020213904381,-1.144780322518347,0.31612062127304075,1.1875040629959104,1.1284188405303954,2.015945382064814,-30.091809184081967,31.909982842386245,0.05424907394981382,0.1696883550505741,8,0,8,1.0
258.0008937236786,0.5164220950007437,-1.8175872102918618,0.29528909804248826,1.1509748887324336,1.0179433859252924,1.1891355849456744,-102.48424204785147,33.660372285720825,0.15973510058593743,0.1591244737824402,9,0,9,2.0
243.42592729859925,0.46825837462186826,-2.067149664904594,0.24906715776205068,1.0950154363298417,0.9929030359039306,1.0225558920593159,-134.36909685595697,31.085831323453903,0.15531334012079234,0.12837561984360904,10,0,10,6.0
233.51107759011842,0.45751710047388094,-2.2820137234201425,0.23307586261177082,1.105271003575325,1.00730459046936,1.0016358556518554,-162.54381154199223,27.39135385218811,0.09607730204296117,0.10916803285328838,11,0,11,8.0
227.64799296170042,0.6054548982143402,-2.7946522448148716,0.3547465365080833,1.3583107868313788,1.0851929980773942,1.000074658905035,-213.12687855566423,24.841640685697556,0.0754954385828972,0.12513789794445934,12,0,12,11.0
226.94865496244813,1.3233873915338517,-3.1016178639497767,1.0241622285346985,2.27029590180397,2.0932453409729,1.000074658905035,-193.91163075878922,24.072486315341948,0.0639903783798218,0.41604235224487546,13,0,13,3.0
216.72155470817566,4.191791774595261,-1.2144739866847996,3.9247760044760707,5.009839438447952,8.443243728149413,1.000074658905035,305.13350599804676,22.29962652318573,-0.08547997058105461,0.6131618043829253,14,0,14,
204.1930738650055,6.345480949891567,0.8036973041791917,6.162195411933899,6.828612760236263,13.42707817515564,1.000074658905035,729.3396034331055,20.32572723566246,-0.381833355424881,0.34849087380053456,15,0,15,6.0
201.49170290753173,7.005381256844521,1.300981607177734,6.838702006128312,7.422109726228714,14.133347354049683,1.000074658905035,782.8952525927734,20.021198803092954,-0.8068843584113121,0.18176076441561323,16,0,16,4.0
201.05183836901855,7.873545058398723,1.4150041942157756,7.7084276919446,8.284004690151214,14.22237578768921,1.000074658905035,816.4548855122069,20.0132013881073,-1.4647369851198198,0.23966601307193147,17,0,17,3.0
200.81542366625976,9.126604516922473,1.2061131997785566,8.971906251789093,9.495361878392696,14.059447612289429,1.0002307785797058,886.6003740771484,20.1588856416893,-2.299509514564037,0.265529558874142,18,0,18,4.0
194.85036438612366,9.90861514510584,0.9094193508777622,9.765057866945742,10.232826396832467,13.761158943145752,1.0035092917480455,904.1140234726563,20.904644589101792,-2.916905330493927,0.26829542440203724,19,0,19,7.0
167.63661800479127,9.74931172869396,0.40246889646816264,9.61032402342844,10.055239184603693,13.65835019847107,1.0239609691314655,776.3719620488282,23.441764811100004,-3.3163306233506202,0.4275522297327632,20,0,20,1.0
105.29855609643555,7.882279510864258,-0.4153065127134319,7.7338053210735325,8.226191443424224,14.598319898117065,1.0608052123565699,500.444818126953,27.222453222267152,-3.444148130897045,0.5179072285268068,21,0,21,2.0
70.07043453619384,5.551773418187619,0.13898908380413033,5.376857216478824,6.001449732689857,14.385099235107422,1.0439442874908451,358.4269123217773,26.48364725131607,-2.03434880446434,0.3847951239958313,22,0,22,1.0
64.69483036529542,4.279665080836773,0.5925500827541352,4.092489587759495,4.778379077937603,12.994029077041626,1.0545604253692602,284.74561552001956,23.229206650865553,-1.0887353586120605,0.34502456554920724,23,0,23,7.0
68.75042469758606,2.630044916135311,0.37238982825660827,2.4371827359900475,3.1514703267002107,10.56246778038025,1.09390258338928,190.17429281005843,15.21660254495621,-0.607325466243744,0.36640566418382364,24,0,24,
67.24802591047668,1.2321757533507347,0.23442748538970903,1.0356713573913574,1.7681752858829498,7.838823190292358,1.1708695830078142,128.19707257812502,9.807425586784362,-0.2780969462389946,0.3732012380642845,25,0,25,8.0
