Bodemtype,GVG,Starting_heads,GHG,GLG,Landgebruik,KD_l1,AHN,soil_rootzone_thickness,GHG_ERROR,U_matrix,X,Y,XY,Total features
90.27660821438599,0.7288239109206199,3.225818123334884,0.46816515945053105,1.5214549767867327,13.775102040428639,14.93642654519654,403.60004709948726,24.386129839515686,3.8389163410478835,1.3256377321715491,0,0,0,2.0
100.90351107693482,0.5783620169644356,3.779616816221237,0.34740528732204445,1.252188583876252,8.562425635922908,16.710014799835207,454.716395704834,25.097694969549178,3.0604276690080763,1.1367123385067175,1,0,1,
102.9780066255188,0.4768404933867455,4.105235459953309,0.2662531229810714,1.069183533224821,5.634040627045631,17.809226359069825,484.71726903344734,25.37410719344139,2.517766569591761,0.7247027793101337,2,0,2,3.0
91.36008689456176,0.3791798653166294,3.222891423631668,0.17742370247220995,0.9362055504302979,8.28584332169342,15.39164952648926,394.7137028865967,25.919650458927155,2.15060798499167,0.7772238943151742,3,0,3,
60.59411714660644,0.1479822242133617,1.4711031993618011,-0.0554663515529632,0.7117711294202804,14.73436291699934,12.53831008340454,204.04049751879893,26.06080176820755,1.5230844259434937,0.6640167751587023,4,0,4,1.0
43.64816308117676,0.03687290927505482,1.1853119054126733,-0.17903570491600052,0.6505086124374866,15.495220086933614,14.104271151245115,158.30496658154289,25.065052365760803,1.2743266737997532,0.4052970170813878,5,0,5,2.0
31.40217012045288,0.08709231283402441,0.25135915489768834,-0.13777219648599615,0.7365483443367482,10.683219024582863,11.119050272277832,53.99355363024915,25.059789189043045,1.1527873364588619,0.5255144523035371,6,0,6,
19.62601037606811,0.2379666702034473,-1.4865878303298956,0.01629696486091614,0.8746488604035376,2.9622524236898427,3.8919176468810974,-121.58365281115721,26.77806640048981,0.956549109251499,0.4601706811230494,7,0,7,1.0
17.318808925384516,0.29682599247145647,-1.6275727338676464,0.09127424810552598,0.8690360387246607,1.3932666227741244,3.239995225463872,-131.75015287158203,27.69576807357788,0.8183162866285443,0.24645933054808322,8,0,8,2.0
18.393522349914548,0.38928720193815236,-1.086981472444533,0.21160572415924073,0.8500167708554267,1.1667932183589933,6.6377759651489185,-74.95967668481444,27.21597361154556,0.6832044829952716,0.22122042494675062,9,0,9,1.0
20.147349165405274,0.45391506299996376,-0.743411161106108,0.28973520549821863,0.8606423012034894,1.033541979834557,11.771421779174801,-41.02561203454593,26.209206989440915,0.5497265443181991,0.20348091513675426,10,0,10,2.0
15.581504228942876,0.38650505689597137,-1.13333331201172,0.20647692650127414,0.8566180139620303,1.0058133564600942,11.982042869171138,-84.03336077783183,26.8987649505043,0.4464079359054566,0.18298857318594028,11,0,11,1.0
9.652390549346919,0.3148772157921791,-1.6791721273612978,0.11584027231884009,0.861022765007019,1.0149715670590407,7.166050184478763,-141.34233319848613,28.344420516109466,0.36432616004139184,0.1577994565243549,12,0,12,3.0
12.960460084960943,0.2909107118864058,-1.8833140920104974,0.08397756705522541,0.868645769152999,1.0276929166469575,4.4329159548034625,-162.89398870117202,27.870025582523347,0.2950402208468318,0.16153494181264982,13,0,13,1.0
23.808200848602297,0.26720398061108597,-1.9142401735877996,0.05902897518444061,0.8499069462523461,1.0173300602798463,6.327008813171389,-165.07015902587887,25.371325618181228,0.21949902263045312,0.17607303141522196,14,0,14,2.0
