key,som_key,lon,lat
B12E0398001,1354,240660.0,562760.0
22CC011A001,854,220348.0,501877.0
B15E0238001,79,164589.0,546490.0
B46A0717001,2961,182110.0,422650.0
B32G0137001,2,162800.0,458290.0
21DL0018001,966,191641.0,502598.0
PEVE071_2001,2999,190771.0,379035.0
PEVE074_2001,1559,189474.0,379066.0
B29A0058001,707,264283.96,490917.93
SAVE003001,185,154716.0,411166.0
B21F0770001,1231,211064.0,522686.0
B40E1528001,1764,202726.0,448579.0
B57E0113002,2412,163359.0,371320.0
B39E0118001,2418,162951.93,447807.77
B23A0771001,1185,266859.0,524438.0
B40E1524002,2159,202304.0,448626.0
B23A0768001,1065,266485.0,524446.0
B41B0481002,1191,239074.0,448496.0
B41B0480002,1251,239090.0,448224.0
B40E1524001,1881,202304.0,448626.0
2135_PBF001,25,125802.0,411333.0
CORK002001,295,183364.0,373705.0
B52A1488002,117,186682.0,389915.0
B34C1149002,2144,229485.0,460122.0
B33E1302002,1143,201348.0,473422.0
B22A1174001,191,228628.0,515857.0
B22A1176001,1647,228814.0,515619.0
B34C1146001,278,221571.0,454896.0
B41B0487001,52,231225.0,449337.0
B32C0398001,1158,145283.65,453631.26
B41F0247001,1017,251030.0,442479.0
5370_PBF001,1695,105345.0,393403.0
DEUR017001,119,189173.0,378390.0
B34C1147002,2424,223138.0,459262.0
B22A1098001,1646,226189.0,515779.0
B21F0732001,205,219430.0,518671.0
B34C1150002,1971,228795.0,445501.0
B52C2104002,1675,189136.0,377108.0
B52C2104001,1436,189136.0,377107.0
B40G1187001,1741,201613.0,435908.0
BIJE001001,1157,144893.0,410681.0
B28B1322001,509,233679.03,489426.78
B40G1169001,300,204155.0,433694.0
NPD-PB25001,1958,225023.0,534145.0
B28D0346001,456,234256.45,484236.56
B26H0811001,1467,175725.0,486834.0
NPD-PB13001,1414,219905.0,534629.0
PEVE073_2001,298,188948.0,378983.0
B40G1176001,1681,202098.0,436477.0
B45G0272002,2140,168610.0,408540.0
B33H1512001,660,211906.0,454380.0
B40G1181001,720,204722.0,435031.0
B16H1500001,2108,213936.0,535666.0
B32E0306002,1952,166611.0,472965.0
B28E1215001,232,249592.46,497274.38
B32C0267001,2958,143612.0,460386.0
B41A0078001,526,226515.0,441380.0
B39B0292002,2711,153691.45,449222.08
B32A0390009,2887,142463.0,471986.0
B34G0294001,1670,241500.0,456800.0
B28D0151001,312,238546.49,485086.78
B33B0235007,2811,192133.65,474337.99
B28B0141003,2600,232527.04,497514.44
B28B0141004,2600,232527.04,497514.44
B22C0134003,487,221127.23,509572.29
B28F0214002,2465,252566.68,495877.68
B57B0069002,2995,155887.0,364528.0
B41A0077001,1487,227535.0,440550.0
B41D0128003,1308,236607.015,436142.28
B44D0175002,1991,112648.0,409619.0
B32A0386008,2890,146696.0,469253.0
B28F0084002,890,252833.91,493407.7
B32A0336003,2166,148226.0,463416.0
B41A0076001,2088,228820.0,441220.0
B41B0061001,1972,234740.0,441030.0
B34B0027002,2883,234345.67,472296.47
B28F0135002,53,250474.78,494537.56
Mol 3_1358_FT1_WATHTE_m_NAP_GW_DagGem001,2938,246586.0,441578.0
B49G0138002,1513,80148.0,384405.0
B40F2040001,1801,218736.0,439685.0
B39E0115002,2175,161984.79,449449.68
B41B0491001,232,237638.0,444745.0
B12G0102001,1477,243300.0,560530.0
B51C0073001,2753,148629.0,379598.0
B51F0096001,2632,177750.0,393040.0
B39B0337001,2402,158722.42,446562.43
B22C0108002,732,222565.66,509007.48
B16B0299001,263,196437.0,545128.0
B32D1370003,875,155785.0,451077.0
B32D0143002,2652,154470.74,451420.83
B16E0223001,1524,200960.0,548045.0
B35A0130001,1017,262227.5,474657.06
B26H0145005,2955,170100.0,480580.0
B28B0153002,2763,235652.53,488236.73
B57E0076002,2695,169685.0,374558.0
B34F3233001,1317,250365.0,464305.0
B39B0292001,2711,153691.45,449222.08
B39E0253004,636,167728.52,443934.41
B39E0253003,636,167728.52,443934.41
B44G0066001,611,122875.0,402194.0
B12C0119001,2181,224720.0,559030.0
B40B0342001,1802,191347.9,440136.2
B32D1371003,563,159832.0,450234.0
B32A0336002,2166,148226.0,463416.0
B32A0453006,2960,142360.0,472302.0
B41A0080001,2454,225790.0,439930.0
B32C0515003,852,144897.26,453160.45
B39E0253005,636,167728.52,443934.41
B28D0463001,553,237823.3,481191.23
B22C0113002,733,223119.84,510262.73
B28B0149002,452,234338.82,490662.2
B34F0781001,957,258366.92,473754.41
B28H0455002,948,258089.27,483741.29
B34D0390002,764,238341.0,457311.0
B41D0033002,526,231725.0,435550.0
B34C0040001,2399,227160.7467,452920.4322
B57B0069001,2995,155887.0,364528.0
B32C0199001,2838,142751.0,458302.0
B32C0200001,2838,142800.0,458332.0
B32A0452006,2960,142312.0,472476.0
B41D0034002,2147,231140.0,434390.0
B32A0393006,2700,142399.0,473124.0
B28B0156002,1177,234721.89,491505.61
B41B0127001,2150,231272.01,448331.44
B41D0030002,110,232150.0,437040.0
B45H0075003,2976,178260.0,410008.0
B32A0335003,2893,143487.0,466160.0
B28F0140002,828,251233.81,496200.34
B51D2657002,2528,154045.0,377058.0
Stelkampsveld Lenderiet 4_838_FT1_WATHTE_m_NAP_GW_DagGem001,101,228393.0,459173.0
B34F3261002,1196,257170.02,473899.14
B28C0740002,2584,228625.0,477558.0
LABW011_2001,367,169303.0,407665.0
B28F0080002,649,250221.57,497268.24
B28F0084001,890,252833.91,493407.7
B49G0138003,1513,80148.0,384405.0
HOOI003_2001,1503,137581.0,414438.0
B45B0306001,1084,157236.0,420688.0
HOOI003_3001,1503,137581.0,414438.0
B12D1808001,2180,230543.0,552233.0
B44F2124001,360,139064.0,419344.0
B41A0498001,2443,220100.0,440520.0
B46C0161001,2680,184062.0,409350.0
B38H0375001,480,137273.0,435573.0
B26H0597001,1983,174615.0,483942.0
21FP9001001,1581,215139.0,520325.0
B38H2376001,180,135939.0,433059.0
21EC506A001,9,205205.0,518758.0
27FG76S001,2980,217723.0,492426.0
B41B0474001,2637,234149.0,440685.0
B33H1509001,2549,214642.0,457247.0
B45D0124001,2070,153170.0,407082.0
GROO030001,176,181830.0,372522.0
B32A1783001,2947,142309.0,472186.0
B27B0489001,694,199073.32,487924.21
B28H0688001,2638,255882.93,483958.78
21EC409A001,1407,203965.0,515703.0
27FL0007001,983,214448.0,494601.0
REESTDAL-PB7001,1828,222171.0,514561.0
B41E0446001,539,241460.0,441740.0
B45H0478001,2688,173393.0,404301.0
B32E1199001,445,166107.0,473198.0
VLIJ001001,852,140915.0,410222.0
PB27001,1579,69569.4,447372.6
B12B0277001,385,238320.0,566490.0
21EC311A001,1465,203767.0,513745.0
B33H1508001,2624,214951.0,457029.0
ANSERVELD-PB5O001,1700,220300.0,534638.0
10-684001,1688,55585.0,426798.0
B34F1467001,2938,256555.49,474972.5
B51G0865001,2154,165491.0,383159.0
21FG507J001,136,215224.0,517549.0
SANG015001,53,173276.0,382569.0
B33B0494001,886,194337.33,464303.2
B27B0485001,2165,197954.78,488567.46
B28H0696001,899,257889.81,475505.03
ANNA009001,2377,169239.0,408265.0
NPD-PB3O001,2237,221843.0,532585.0
B45B0340002,1981,154288.0,422664.0
ANNA002001,1925,168890.0,408410.0
B34G0286001,179,242000.0,452510.0
B22D0156001,2542,231700.06,501880.86
ANNA008001,2809,169401.0,408438.0
B51E0075001,101,167369.0,393257.0
28CL0010001,820,224241.0,478855.0
B32F0827001,2413,176775.96,466304.95
B45G0398001,2555,168818.0,408628.0
B39E0253001,634,167728.52,443934.41
B32E0076001,691,169460.0,471200.0
B12D1800001,1603,230444.0,553409.0
B17C1763001,2241,226474.0,534995.0
B17D1459001,2207,237943.0,533984.0
CORK014001,894,188268.0,374072.0
VILT103001,2379,192091.0,410359.0
B27E0607001,2045,200164.81,490749.34
B40A2160001,962,183770.0,439700.0
B51D0005001,54,159181.0,376431.0
