key,som_key,lon,lat
B44D0330001,578,117918.0,400798.0
B49F0556002,204,94353.0,399903.0
5337001,515,109928.0,392213.0
B40E1525001,1877,202631.0,448835.0
B50E0497001,2330,127485.0,388562.0
B44C0308001,388,104938.0,402126.0
B32D0192001,345,159817.71,454688.0
5319001,823,97977.0,386132.0
B44D0688001,1628,118969.0,400528.0
B40F2039001,1336,215686.024,437809.583
B51A0145001,762,143505.0,394485.0
B41B0479001,416,235055.0,440187.0
B52C2048001,1196,189741.0,378069.0
B52C0594002,1859,189775.0,375370.0
B44C0323002,505,103108.0,402391.0
B46G0059001,589,200010.0,400660.0
B16F0196001,972,216820.0,549553.0
B51A1857001,1864,147316.0,398761.0
B58C0359002,2931,180560.0,362468.0
B57A0060001,2742,149423.0,368081.0
B51C1767001,2868,141387.0,382490.0
2130001,624,127070.0,411251.0
PEVE049002,1316,191133.0,380095.0
B60B0098001,539,196519.0,349577.0
B11B1724001,443,198198.0,564266.0
B52C0301001,1251,182606.0,383767.0
B51G0349001,1309,164585.0,379855.0
B58G0135001,2919,203763.0,352073.0
B60E0051001,899,201168.0,348289.0
B50B0077001,1693,117847.0,394107.0
B50H0126001,2508,139190.0,378670.0
B50H0370001,1854,139112.0,381197.0
B50F0109001,1932,130212.0,391973.0
16GL852401001,154,205668.0,527173.0
B50F1456001,1123,134970.0,391783.0
B57G0052001,1859,168796.0,359907.0
B50F1377001,1994,132872.0,389733.0
B57B0013001,2983,158430.0,369540.0
WOOL005001,1855,181451.0,374533.0
2074001,152,126211.0,411436.0
B28A0647001,170,224252.0,489927.0
B50E0338001,1811,129591.0,396087.0
RAAI002_12001,1868,173384.0,398633.0
B52B0240001,659,195400.0,388115.0
B49G0435001,2042,81822.0,385815.0
B58B0246001,779,194152.0,365026.0
B49F0215001,2293,96457.0,390860.0
B51C0391001,2170,149002.0,383278.0
B58A0163001,898,189364.0,364644.0
B58A0163002,898,189364.0,364644.0
B60B0100001,2955,196337.0,344153.0
B39F0551001,2594,177610.0,444560.0
B45F0174001,1592,172995.0,416742.0
B51H0393001,298,176540.0,379600.0
B40A0541002,2384,180136.3,445768.1
B46B1048001,2943,191581.55,423231.92
B58G0148001,2876,205410.0,353847.0
B49G0132001,2043,83865.0,385191.0
R2P2001,2106,84555.0,379530.0
B57A0064001,2743,149310.0,365369.0
